Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Both sexes,76 years,Longford,Number,359
Population,2022,Both sexes,76 years,Louth,Number,921
Population,2022,Both sexes,76 years,Limerick City and County,Number,1462
Population,2022,Both sexes,76 years,Leitrim,Number,279
Population,2022,Both sexes,76 years,Laois,Number,539
Population,2022,Both sexes,76 years,Meath,Number,1174
Population,2022,Both sexes,76 years,Monaghan,Number,464
Population,2022,Both sexes,76 years,Mayo,Number,1150
Population,2022,Both sexes,76 years,Offaly,Number,562
Population,2022,Both sexes,76 years,Roscommon,Number,592
Population,2022,Both sexes,76 years,South Dublin,Number,1736
Population,2022,Both sexes,76 years,Sligo,Number,562
Population,2022,Both sexes,76 years,Tipperary,Number,1301
Population,2022,Both sexes,76 years,Waterford City and County,Number,938
Population,2022,Both sexes,76 years,Westmeath,Number,586
Population,2022,Both sexes,76 years,Wicklow,Number,1047
Population,2022,Both sexes,76 years,Wexford,Number,1188
Population,2022,Both sexes,77 years,State,Number,30572
Population,2022,Both sexes,77 years,Cork City and Cork County,Number,3648
Population,2022,Both sexes,77 years,Clare,Number,894
Population,2022,Both sexes,77 years,Cavan,Number,482
Population,2022,Both sexes,77 years,Carlow,Number,372
Population,2022,Both sexes,77 years,Dublin City,Number,2943
Population,2022,Both sexes,77 years,Donegal,Number,1179
Population,2022,Both sexes,77 years,Dún Laoghaire-Rathdown,Number,1604
Population,2022,Both sexes,77 years,Fingal,Number,1475
Population,2022,Both sexes,77 years,Galway City,Number,425
Population,2022,Both sexes,77 years,Galway County,Number,1198
Population,2022,Both sexes,77 years,Kildare,Number,1181
Population,2022,Both sexes,77 years,Kilkenny,Number,697
Population,2022,Both sexes,77 years,Kerry,Number,1189
Population,2022,Both sexes,77 years,Longford,Number,296
Population,2022,Both sexes,77 years,Louth,Number,775
Population,2022,Both sexes,77 years,Limerick City and County,Number,1324
Population,2022,Both sexes,77 years,Leitrim,Number,260
Population,2022,Both sexes,77 years,Laois,Number,452
Population,2022,Both sexes,77 years,Meath,Number,1067
Population,2022,Both sexes,77 years,Monaghan,Number,377
Population,2022,Both sexes,77 years,Mayo,Number,1044
Population,2022,Both sexes,77 years,Offaly,Number,496
Population,2022,Both sexes,77 years,Roscommon,Number,466
Population,2022,Both sexes,77 years,South Dublin,Number,1509
Population,2022,Both sexes,77 years,Sligo,Number,511
Population,2022,Both sexes,77 years,Tipperary,Number,1211
Population,2022,Both sexes,77 years,Waterford City and County,Number,835
Population,2022,Both sexes,77 years,Westmeath,Number,598
Population,2022,Both sexes,77 years,Wicklow,Number,974
Population,2022,Both sexes,77 years,Wexford,Number,1090
Population,2022,Both sexes,78 years,State,Number,28058
Population,2022,Both sexes,78 years,Cork City and Cork County,Number,3162
Population,2022,Both sexes,78 years,Clare,Number,793
Population,2022,Both sexes,78 years,Cavan,Number,433
Population,2022,Both sexes,78 years,Carlow,Number,312
Population,2022,Both sexes,78 years,Dublin City,Number,2846
Population,2022,Both sexes,78 years,Donegal,Number,1115
Population,2022,Both sexes,78 years,Dún Laoghaire-Rathdown,Number,1551
Population,2022,Both sexes,78 years,Fingal,Number,1292
Population,2022,Both sexes,78 years,Galway City,Number,387
Population,2022,Both sexes,78 years,Galway County,Number,1125
Population,2022,Both sexes,78 years,Kildare,Number,1040
Population,2022,Both sexes,78 years,Kilkenny,Number,610
Population,2022,Both sexes,78 years,Kerry,Number,1077
Population,2022,Both sexes,78 years,Longford,Number,261
Population,2022,Both sexes,78 years,Louth,Number,797
Population,2022,Both sexes,78 years,Limerick City and County,Number,1217
Population,2022,Both sexes,78 years,Leitrim,Number,232
Population,2022,Both sexes,78 years,Laois,Number,443
Population,2022,Both sexes,78 years,Meath,Number,992
Population,2022,Both sexes,78 years,Monaghan,Number,361
Population,2022,Both sexes,78 years,Mayo,Number,952
Population,2022,Both sexes,78 years,Offaly,Number,439
Population,2022,Both sexes,78 years,Roscommon,Number,461
Population,2022,Both sexes,78 years,South Dublin,Number,1393
Population,2022,Both sexes,78 years,Sligo,Number,452
Population,2022,Both sexes,78 years,Tipperary,Number,1043
Population,2022,Both sexes,78 years,Waterford City and County,Number,761
Population,2022,Both sexes,78 years,Westmeath,Number,519
Population,2022,Both sexes,78 years,Wicklow,Number,936
Population,2022,Both sexes,78 years,Wexford,Number,1056
Population,2022,Both sexes,79 years,State,Number,26104
Population,2022,Both sexes,79 years,Cork City and Cork County,Number,2975
Population,2022,Both sexes,79 years,Clare,Number,693
Population,2022,Both sexes,79 years,Cavan,Number,388
Population,2022,Both sexes,79 years,Carlow,Number,339
Population,2022,Both sexes,79 years,Dublin City,Number,2774
Population,2022,Both sexes,79 years,Donegal,Number,991
Population,2022,Both sexes,79 years,Dún Laoghaire-Rathdown,Number,1448
Population,2022,Both sexes,79 years,Fingal,Number,1258
Population,2022,Both sexes,79 years,Galway City,Number,363
Population,2022,Both sexes,79 years,Galway County,Number,1026
Population,2022,Both sexes,79 years,Kildare,Number,981
Population,2022,Both sexes,79 years,Kilkenny,Number,597
Population,2022,Both sexes,79 years,Kerry,Number,1017
Population,2022,Both sexes,79 years,Longford,Number,235
Population,2022,Both sexes,79 years,Louth,Number,665
Population,2022,Both sexes,79 years,Limerick City and County,Number,1209
Population,2022,Both sexes,79 years,Leitrim,Number,212
Population,2022,Both sexes,79 years,Laois,Number,390
Population,2022,Both sexes,79 years,Meath,Number,865
Population,2022,Both sexes,79 years,Monaghan,Number,357
Population,2022,Both sexes,79 years,Mayo,Number,884
Population,2022,Both sexes,79 years,Offaly,Number,442
Population,2022,Both sexes,79 years,Roscommon,Number,422
Population,2022,Both sexes,79 years,South Dublin,Number,1205
Population,2022,Both sexes,79 years,Sligo,Number,457
Population,2022,Both sexes,79 years,Tipperary,Number,1010
Population,2022,Both sexes,79 years,Waterford City and County,Number,699
Population,2022,Both sexes,79 years,Westmeath,Number,478
Population,2022,Both sexes,79 years,Wicklow,Number,812
Population,2022,Both sexes,79 years,Wexford,Number,912
Population,2022,Both sexes,80 years,State,Number,22847
Population,2022,Both sexes,80 years,Cork City and Cork County,Number,2772
Population,2022,Both sexes,80 years,Clare,Number,594
Population,2022,Both sexes,80 years,Cavan,Number,332
Population,2022,Both sexes,80 years,Carlow,Number,279
Population,2022,Both sexes,80 years,Dublin City,Number,2408
Population,2022,Both sexes,80 years,Donegal,Number,902
Population,2022,Both sexes,80 years,Dún Laoghaire-Rathdown,Number,1410
Population,2022,Both sexes,80 years,Fingal,Number,1011
Population,2022,Both sexes,80 years,Galway City,Number,376
Population,2022,Both sexes,80 years,Galway County,Number,998
Population,2022,Both sexes,80 years,Kildare,Number,778
Population,2022,Both sexes,80 years,Kilkenny,Number,514
Population,2022,Both sexes,80 years,Kerry,Number,818
Population,2022,Both sexes,80 years,Longford,Number,207
Population,2022,Both sexes,80 years,Louth,Number,572
Population,2022,Both sexes,80 years,Limerick City and County,Number,1001
Population,2022,Both sexes,80 years,Leitrim,Number,159
Population,2022,Both sexes,80 years,Laois,Number,341
Population,2022,Both sexes,80 years,Meath,Number,802
Population,2022,Both sexes,80 years,Monaghan,Number,255
Population,2022,Both sexes,80 years,Mayo,Number,799
Population,2022,Both sexes,80 years,Offaly,Number,360
Population,2022,Both sexes,80 years,Roscommon,Number,362
Population,2022,Both sexes,80 years,South Dublin,Number,1022
Population,2022,Both sexes,80 years,Sligo,Number,379
Population,2022,Both sexes,80 years,Tipperary,Number,804
Population,2022,Both sexes,80 years,Waterford City and County,Number,656
Population,2022,Both sexes,80 years,Westmeath,Number,397
Population,2022,Both sexes,80 years,Wicklow,Number,706
Population,2022,Both sexes,80 years,Wexford,Number,833
Population,2022,Both sexes,81 years,State,Number,20661
